Date,Direction
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-07,Incoming
2020-04-07,Incoming
2020-04-07,Outgoing
2020-04-06,Outgoing
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Incoming
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Outgoing
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-06,Outgoing
2020-04-06,Incoming
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Incoming
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Incoming
2020-04-05,Outgoing
2020-04-05,Outgoing
2020-04-04,Incoming
